idx	X	Y	component
0	1000	1021.39726139752	0
1	2335.284704975385	1027.514675916391	0
2	2335.300874676245	1027.554928670902	0
3	2335.283797494201	1027.509979833957	0
4	2335.284704975005	1027.514675915466	0
5	6250.362256711171	1028.73766260167	0
6	6250.367137905375	1028.737493678021	0
7	6250.270579064581	1028.740834549785	0
8	6250.265694433411	1028.741003490797	0
9	12066.77820597332	1000	0
10	1000	2039.522266339309	1
11	1001.999579095442	2039.56130477641	1
12	1001.999578228657	2039.56130477639	1
13	5861.830947636929	2039.699181507582	1
14	5861.829931120492	2039.699701665081	1
15	5861.847619544846	2039.69897513861	1
16	5861.845946533409	2039.699129948102	1
17	12788.2802265664	2043.284635834286	1
18	12788.28023869416	2043.284635814987	1
19	12789.26758593325	2043.125886160208	1
20	12788.28023275559	2043.284636057208	1
21	12789.26758286747	2043.125886231888	1
22	12789.26756815444	2043.125886341899	1
23	14406.09782622498	2030.163880531164	1
24	14406.09321924865	2030.209609458647	1
25	14406.0987743985	2030.157727572473	1
26	14406.09877166597	2030.157727593396	1
27	14406.18663754716	2028.963974267002	1
28	1000	3248.136738820264	2
29	1105.031474695246	3169.333815806039	2
30	1105.031385508089	3169.333807342896	2
31	1610.548496007068	3047.282725215231	2
32	1610.537837966844	3047.278760254844	2
33	1610.559306132494	3047.287572467805	2
34	1610.552128430187	3047.285568233788	2
35	5574.584900108119	3090.401930426044	2
36	5574.581385368139	3090.402008068324	2
37	5932.329325732255	3043.284636057208	2
38	5574.584900109119	3090.401930425991	2
39	5932.328818910311	3043.284673005404	2
40	5932.32832017952	3043.284655790526	2
41	6687.338622480318	3073.133508995619	2
42	6687.276484657003	3073.128350863252	2
43	6856.256101140181	3074.521079766869	2
44	6687.339416152714	3073.133700680777	2
45	6856.243921286845	3074.520785715978	2
46	6856.24437132496	3074.52080052803	2
47	6924.151577204084	3101.644658696043	2
48	6924.142644314023	3101.600410970887	2
49	6924.153592233015	3101.696967884176	2
50	6924.15294501825	3101.644823374461	2
51	8659.777156650474	3147.842039913234	2
52	8659.777361305478	3147.842046143908	2
53	8660.739381374438	3148.10938095615	2
54	8659.777481252837	3147.842051647763	2
55	8660.739523857646	3148.109394885157	2
56	8660.740330442157	3148.109425529921	2
57	15414.89818591861	3098.527548721949	2
58	15414.91646659102	3098.527617478493	2
59	15414.86461289326	3098.527426028725	2
60	15414.89816496362	3098.527548753541	2
61	16664.27009261362	3097.740862027985	2
62	16664.26992695962	3097.740862532169	2
63	16661.28436153317	3097.633013167954	2
64	1000	4251.075233984475	3
65	1722.010449662142	4257.185645697939	3
66	1722.010439088808	4257.185646192911	3
67	1722.959540532	4256.870527070181	3
68	1722.010444045423	4257.185646253621	3
69	1722.959543660945	4256.870527105235	3
70	1722.959536009424	4256.870527067266	3
71	6331.39727317862	4264.961304892632	3
72	6331.397269802568	4264.961306047297	3
73	6332.345258364207	4264.640566432583	3
74	6331.397429730139	4264.961313031431	3
75	6332.34537163502	4264.640564249524	3
76	6332.345258365203	4264.640566269938	3
77	6496.37017379301	4257.68552655118	3
78	6496.369848963193	4257.685519397727	3
79	6497.30456220499	4257.329180016772	3
80	6496.37018489404	4257.685526455513	3
81	6497.304618183538	4257.329180347711	3
82	6497.304572993977	4257.329180491002	3
83	6919.466704413622	4271.464515473054	3
84	6919.440077093364	4271.4663518495	3
85	6919.482514069219	4271.463448835903	3
86	6919.471628228261	4271.464182193038	3
87	7040.790642996712	4259.464868770417	3
88	7040.790604445596	4259.464879008041	3
89	7042.729003400324	4259.941895090653	3
90	7040.790943043488	4259.464853373241	3
91	7042.728982689805	4259.941896050032	3
92	7042.729048744783	4259.941904035175	3
93	7077.762887393656	4258.564876634336	3
94	7077.762574427274	4258.564895094836	3
95	7078.755123141666	4258.428717600557	3
96	7077.762704286608	4258.564887497429	3
97	7078.755229508555	4258.428715161823	3
98	7078.755233158336	4258.428714648478	3
99	7086.712610232324	4257.535092977701	3
100	7086.71261023132	4257.535092977696	3
101	7087.692512822119	4257.332833779728	3
102	7086.712827798416	4257.535079299059	3
103	7087.69257467609	4257.332829569057	3
104	7087.692510695968	4257.332834313756	3
105	8109.958445537508	4261.124589175326	3
106	8109.958442947609	4261.124589687418	3
107	8110.893834779032	4260.770182186223	3
108	8109.958468603043	4261.124590540814	3
109	8110.893841908568	4260.770182963678	3
110	8110.89383477997	4260.770182186558	3
111	10372.81825139224	4258.50941899503	3
112	10372.81825695596	4258.509418990816	3
113	10372.86179374017	4258.509767117139	3
114	10372.8549811158	4258.509712593192	3
115	11834.89449106619	4251.057553198611	3
116	11834.89449106519	4251.0575531986	3
117	11835.88732371994	4250.939241328579	3
118	11834.89450618963	4251.05755319149	3
119	11835.88732107444	4250.939241242742	3
120	11835.88732371894	4250.939241328586	3
121	14570.91228417068	4254.909720136794	3
122	14570.91228207116	4254.909720137391	3
123	14571.89552012137	4254.727331405445	3
124	14570.91228225516	4254.909720144105	3
125	14571.89551997885	4254.727331410689	3
126	14571.8955185184	4254.727331405958	3
127	15735.89106930998	4248.136738820264	3
